date,農業,林業,漁業,鉱業,建設業,製造業,電気ガス,運輸通信,小売業,金融保険,不動産,サービス,公務
1920-01-01,13948776,189627,533761,424464,711983,4461458,92313,1046685,2663157,130534,0,1948767,582130
1930-01-01,13955316,187068,568436,315476,978975,4707581,122362,1169303,4130747,194043,0,2483822,735929
1940-01-01,13557098,292426,542958,597755,981080,6863667,143418,1372662,4097839,274261,23868,2896024,621319
1950-01-01,16361576,426484,690400,591198,1543219,5703296,224132,1584581,3988908,349227,13737,3332054,1178788
1955-01-01,15063788,518725,708103,535795,1796651,6914459,229504,1813196,5511321,581638,43342,4501678,1370026
1960-01-01,13268534,439405,680829,538074,2693422,9572454,235011,2220294,6978812,704412,82615,5279520,1339942
1965-01-01,10987230,262432,607604,332063,3057955,11724950,265006,2867641,8551974,960922,205262,6643625,1474801
1970-01-01,9400296,206033,539367,216095,3963881,13716616,290145,3235914,10136050,1128915,274266,7703135,1742080
1975-01-01,6692382,178979,475311,131722,4729373,13245258,320534,3365228,11371708,1383290,371833,8748648,1959371
1980-01-01,5474939,165498,461150,108020,5383271,13246135,348607,3504251,12731078,1576530,426905,10297555,2025831
1985-01-01,4851035,139862,421296,95316,5266295,13972604,336841,3510034,13382405,1729426,479753,11949386,2056461
1990-01-01,3918650,107500,365131,63381,5842027,14642678,333614,3675718,13801675,1969207,691590,13886738,2062814
1995-01-01,3426497,85824,307528,60597,6630578,13556253,364183,3890110,14618405,1974508,707149,15932490,2155214
2000-01-01,2852259,67153,253097,53607,6289765,12227685,351347,3902280,14318544,1758264,747203,17263876,2143165
